ARQ,NEURONS,SIZE,WEIGHTS,ACC1,ACC2,ACC3,ACC4,ACC5,ACC_M,ACC_DP
ARQ2,2,261,23,0.6882255673408508,0.5970149040222168,0.5970149040222168,0.4029850661754608,0.42951905727386475,0.5429518699645997,0.10900254547595978
ARQ2,2,531,23,0.7363184094429016,0.451077938079834,0.6832504272460938,0.447761207818985,0.5970149040222168,0.5830845832824707,0.11785247176885605
ARQ2,2,801,23,0.6915422677993774,0.4494195580482483,0.5970149040222168,0.5970149040222168,0.646766185760498,0.5963515758514404,0.08147735893726349
ARQ2,2,1071,23,0.7181094288825989,0.6105804443359375,0.5913764238357544,0.7905804514884949,0.6876617074012756,0.6796616554260254,0.07267972081899643
ARQ2,2,1332,23,0.583482563495636,0.5970149040222168,0.6100497245788574,0.7294859290122986,0.5911442637443542,0.6222354888916015,0.05432436242699623
ARQ2,2,1602,23,0.5887230634689331,0.5998673439025879,0.830315113067627,0.6931343078613281,0.7943615317344666,0.7012803077697753,0.09832006692886353
ARQ2,2,1872,23,0.4176119267940521,0.47665008902549744,0.8265008330345154,0.8020232319831848,0.5970149040222168,0.6239602088928222,0.16597293317317963
ARQ2,2,2142,23,0.5779436230659485,0.5970149040222168,0.6561857461929321,0.6871973276138306,0.635024905204773,0.6306733131408692,0.03944133222103119
ARQ2,2,2412,23,0.6918739676475525,0.6809618473052979,0.8942288756370544,0.6761193871498108,0.8228855729103088,0.7532139301300049,0.08906837552785873
ARQ2,2,2682,23,0.5790712833404541,0.6030514240264893,0.5173797607421875,0.5361857414245605,0.7873963713645935,0.604616928100586,0.09628759324550629
ARQ2,2,2952,23,0.8893864154815674,0.5622553825378418,0.967827558517456,0.5970149040222168,0.5749917030334473,0.7182951927185058,0.17385731637477875
ARQ2,2,3222,23,0.8314759731292725,0.6899502277374268,0.6422222256660461,0.5970149040222168,0.713764488697052,0.694885540008545,0.07923358678817749
ARQ2,2,3492,23,0.7888888716697693,0.5970149040222168,0.6000663638114929,0.5970149040222168,0.5936318635940552,0.635323429107666,0.07680973410606384
ARQ2,2,3762,23,0.8611276745796204,0.846534013748169,0.734825849533081,0.5551244020462036,0.5634162425994873,0.7122056484222412,0.13232260942459106
ARQ2,2,4032,23,0.5894195437431335,0.8600994944572449,0.6009950041770935,0.741824209690094,0.8826202154159546,0.7349916458129883,0.12380564957857132
ARQ2,2,4311,23,0.4914759397506714,0.5970149040222168,0.5920398235321045,0.5969485640525818,0.5854726433753967,0.5725903511047363,0.04077662155032158
ARQ2,2,4581,23,0.49864012002944946,0.6841459274291992,0.7158209085464478,0.7147263884544373,0.8182752728462219,0.6863216876983642,0.10422848165035248
